Unnamed: 0,Time,NAD,Glucose_source_indep
0,0,1.0,5
1,4,1.107594533,5
2,8,1.044317385,5
3,12,0.981018981,5
4,18,0.873424448,5
5,24,0.784810934,5
6,30,1.4050630219999998,5
7,36,1.848109337,5
